0.202689 1
0.70217 2
1.40421 3
2.36761 4
3.36437 5
3.57929 6
5.87305 7
6.40954 8
6.47244 9
6.94068 10
7.13676 11
7.71788 12
9.12159 13
9.29994 14
13.216 15
13.392 16
13.4496 17
13.6296 18
16.415 19
17.0797 20
18.587 21
19.6632 22
20.6404 23
21.6484 24
21.6908 25
22.4083 26
23.4526 27
24.6464 28
24.7276 29
25.0833 30
25.8318 31
27.0355 32
27.8118 33
29.9946 34
30.2689 35
35.6128 36
36.1573 37
36.4421 38
36.9713 39
37.6235 40
39.3741 41
40.4456 42
40.5813 43
42.4339 44
43.4232 45
44.3921 46
44.7238 47
46.0424 48
46.4611 49
47.7113 50
48.3246 51
49.317 52
49.8588 53
50.6164 54
52.443 55
54.5249 56
54.7295 57
55.1845 58
56.0789 59
56.5502 60
57.1861 61
59.9993 62
62.5716 63
63.3314 64
63.9271 65
64.2636 66
64.3015 67
65.6935 68
67.3823 69
67.3859 70
67.7109 71
67.8643 72
68.146 73
68.2313 74
68.7911 75
69.4455 76
69.8863 77
69.9794 78
70.883 79
72.2016 80
72.5914 81
73.3912 82
73.7908 83
73.8666 84
74.6832 85
74.8407 86
78.8704 87
78.8721 88
78.9227 89
79.2707 90
79.8788 91
80.9784 92
81.1506 93
82.9766 94
86.5954 95
87.9239 96
88.0674 97
88.834 98
89.3057 99
90.097 100
96.2369 101
96.5302 102
96.5378 103


